"track__album__name","track__album__release_date","track__duration_ms","track__id","track__name","track__uri"
"Life After You","2020-07-31","188081","2c1BSmrSeBEY9FxhzSiFWh","Life After You","spotify:track:2c1BSmrSeBEY9FxhzSiFWh"
"Without You","2020-05-01","190729","3iQNkoYyr2SffgYiTpE3v5","Without You","spotify:track:3iQNkoYyr2SffgYiTpE3v5"
"Hey Baby (feat. Gia Koka)","2020-08-28","177545","3bNIlJBpwgwFNnFuSjH6Uh","Hey Baby (feat. Gia Koka)","spotify:track:3bNIlJBpwgwFNnFuSjH6Uh"
"Delali","2020-05-12","183529","1yGPoS9sQvB8TPfa2wEv9w","Delali","spotify:track:1yGPoS9sQvB8TPfa2wEv9w"
"No Service In The Hills (feat. Trippie Redd, Blackbear, PRINCE$$ ROSIE) [NGHTMRE Remix]","2020-04-03","232105","0Kaai4pEUw3hmnVHW3R5IW","No Service In The Hills (feat. Trippie Redd, Blackbear, PRINCE$$ ROSIE) - NGHTMRE Remix","spotify:track:0Kaai4pEUw3hmnVHW3R5IW"
"Dakiti","2020-10-30","205090","47EiUVwUp4C9fGccaPuUCS","Dakiti","spotify:track:47EiUVwUp4C9fGccaPuUCS"
"BOOM","2018-01-26","179512","6iC7vapdKp0XlKhxOkp8QJ","BOOM","spotify:track:6iC7vapdKp0XlKhxOkp8QJ"
"Featuring Ty Dolla $ign","2020-10-23","143375","5IUtvfNvOyVYZUa6AJFrnP","Spicy (feat. Post Malone)","spotify:track:5IUtvfNvOyVYZUa6AJFrnP"
"Heart On My Sleeve","2020-06-26","209062","32hvlKjjOhc15tnVmNk4wE","Heart On My Sleeve","spotify:track:32hvlKjjOhc15tnVmNk4wE"
"Coño (Henry Fong Remix)","2020-09-11","139000","6m5JQ8osGRHPqoRRbiRiEE","Coño - Henry Fong Remix","spotify:track:6m5JQ8osGRHPqoRRbiRiEE"
"Wired (with Ella Eyre)","2020-10-09","202652","7k3uKOLzMCvYM00E3QZTSq","Wired (with Ella Eyre)","spotify:track:7k3uKOLzMCvYM00E3QZTSq"
"Sweet Action","2020-03-13","139741","1jaTQ3nqY3oAAYyCTbIvnM","WHATS POPPIN","spotify:track:1jaTQ3nqY3oAAYyCTbIvnM"
"Up All Night (feat. Afrojack)","2020-10-09","160906","5k1uIPpsHmnbWFr4nbpdYb","Up All Night (feat. Afrojack)","spotify:track:5k1uIPpsHmnbWFr4nbpdYb"
"Hold Me Back","2019-04-26","223107","5C5FqRfbXF9oY4HSRYyqn3","Hold Me Back","spotify:track:5C5FqRfbXF9oY4HSRYyqn3"
"Dreamer (Remixes)","2018-02-02","250809","6Bz6Rsp8GyeK4yL7APYYX3","Dreamer - Matisse & Sadko Remix","spotify:track:6Bz6Rsp8GyeK4yL7APYYX3"
"Laugh Now Cry Later (feat. Lil Durk)","2020-08-14","261492","2SAqBLGA283SUiwJ3xOUVI","Laugh Now Cry Later (feat. Lil Durk)","spotify:track:2SAqBLGA283SUiwJ3xOUVI"
"All We Got (feat. KIDDO) [Ofenbach Remix]","2020-11-13","129814","2rUsJXt4NeeDiIU6sBvrxo","All We Got (feat. KIDDO) - Ofenbach Remix","spotify:track:2rUsJXt4NeeDiIU6sBvrxo"
"Creep (mint Singles)","2020-03-20","161190","3H5RcWUThB3fXf1fD5fUop","Creep - mint Singles","spotify:track:3H5RcWUThB3fXf1fD5fUop"
"Save Me Tonight","2019-01-25","170079","1nufXiTCTTAeJfO9hLHvO8","Save Me Tonight","spotify:track:1nufXiTCTTAeJfO9hLHvO8"
"We Like To Party","2019-05-17","172380","0I3wlS5dlpw0hv5zhxN0pz","We Like To Party","spotify:track:0I3wlS5dlpw0hv5zhxN0pz"
"Let's Love","2020-09-11","200645","6lhZLbb0czULpjb2kFryPS","Let's Love","spotify:track:6lhZLbb0czULpjb2kFryPS"
